Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal
εἰδέναι,to know,V-RNA,G1492,Ephesians 1,100
τίς,what,IPro-NFS,G5101,Ephesians 1,101
ἐλπὶς,hope,N-NFS,G1680,Ephesians 1,102
κλήσεως,calling,N-GFS,G2821,Ephesians 1,103
ὑπερβάλλον,surpassing,V-PPA-NNS,G5235,Ephesians 1,104
μέγεθος,greatness,N-NNS,G3174,Ephesians 1,105
δυνάμεως,power,N-GFS,G1411,Ephesians 1,106
ἐνέργειαν,working,N-AFS,G1753,Ephesians 1,107
κράτους,might,N-GNS,G2904,Ephesians 1,108
ἰσχύος,strength,N-GFS,G2479,Ephesians 1,109
ἐγείρας,having raised,V-APA-NMS,G1453,Ephesians 1,110
ἐκ,out from,Prep,G1537,Ephesians 1,111
νεκρῶν,the dead,Adj-GMP,G3498,Ephesians 1,112
καθίσας,having set Him,V-APA-NMS,G2523,Ephesians 1,113
δεξιᾷ,the right hand,Adj-DFS,G1188,Ephesians 1,114
ὑπεράνω,above,Prep,G5231,Ephesians 1,115
ἀρχῆς,principality,N-GFS,G746,Ephesians 1,116
ἐξουσίας,authority,N-GFS,G1849,Ephesians 1,117
κυριότητος,dominion,N-GFS,G2963,Ephesians 1,118
